P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
172661,1.15,595.82,294241,1.96,1014.34,18.46,98926,79,7.56,9.32,11.53,14.06,16.6366666666667,192.496666666667
155327,1.04,536.23,408356,2.72,1410.29,18.42,98921,79,7.56,9.32333333333333,11.5333333333333,14.06,16.6333333333333,192.57
0,0.0,0.62,17921,0.12,62.69,18.42,98922,79,7.57,9.33,11.5433333333333,14.0666666666667,16.64,192.626666666667
40702,0.27,141.46,388422,2.59,1340.77,18.39,98919,79,7.57,9.33,11.5533333333333,14.0733333333333,16.64,192.66
0,0.0,0.62,150282,1.0,518.89,18.38,98924,79,7.57,9.33666666666667,11.56,14.0733333333333,16.6366666666667,192.68
0,0.0,0.62,112106,0.75,387.59,18.43,98923,79,7.57,9.34,11.56,14.07,16.63,192.7
0,0.0,0.62,159653,1.06,551.11,18.38,98921,78,7.57,9.34,11.56,14.0633333333333,16.62,192.71
0,0.0,0.62,0,0.0,0.62,18.36,98923,79,7.57,9.33,11.55,14.0533333333333,16.6066666666667,192.703333333333
97711,0.65,338.04,414320,2.76,1431.12,18.38,98923,79,7.57,9.33666666666667,11.5566666666667,14.0633333333333,16.6133333333333,192.72
0,0.0,0.62,196063,1.31,676.27,18.39,98926,79,7.57333333333333,9.34,11.5566666666667,14.0633333333333,16.6166666666667,192.733333333333
0,0.0,0.62,123235,0.82,425.88,18.42,98921,79,7.58,9.34,11.56,14.06,16.61,192.746666666667
0,0.0,0.62,338547,2.26,1167.54,18.43,98925,79,7.58,9.34,11.56,14.06,16.6066666666667,192.753333333333
0,0.0,0.62,252256,1.68,869.59,18.38,98922,79,7.58,9.34,11.5666666666667,14.06,16.6033333333333,192.76
0,0.0,0.62,103795,0.69,358.99,18.34,98919,79,7.58,9.34,11.57,14.06,16.5933333333333,192.78
0,0.0,0.62,59634,0.4,206.82,18.28,98917,79,7.58,9.35,11.57,14.0533333333333,16.5866666666667,192.826666666667
172137,1.15,594.02,441117,2.94,1524.94,18.25,98919,79,7.59,9.35,11.57,14.0566666666667,16.5833333333333,192.883333333333
0,0.0,0.62,16440,0.11,57.57,18.23,98920,79,7.59,9.35,11.5766666666667,14.05,16.5766666666667,192.926666666667
141713,0.94,489.43,295451,1.97,1018.51,18.22,98922,79,7.59,9.35,11.57,14.0433333333333,16.5633333333333,192.97
0,0.0,0.62,265474,1.77,915.13,18.2,98919,79,7.59,9.35,11.5766666666667,14.0533333333333,16.5733333333333,193.006666666667
39503,0.26,137.32,302578,2.02,1043.12,18.16,98920,80,7.59,9.35666666666667,11.58,14.09,16.6266666666667,193.06
124448,0.83,430.05,311630,2.08,1074.4,18.14,98919,79,7.6,9.36,11.58,14.13,16.6833333333333,193.16
105059,0.7,363.34,224987,1.5,775.74,18.12,98918,79,7.6,9.36333333333333,11.58,14.1233333333333,16.6733333333333,193.216666666667
0,0.0,0.62,0,0.0,0.62,18.08,98908,80,7.6,9.37,11.58,14.12,16.6666666666667,193.256666666667
0,0.0,0.62,133382,0.89,460.78,18.07,98909,80,7.61,9.37,11.58,14.12,16.6633333333333,193.293333333333
0,0.0,0.62,64772,0.43,224.54,18.03,98910,80,7.61,9.37,11.5866666666667,14.12,16.66,193.333333333333
0,0.0,0.62,159961,1.07,552.16,18.08,98910,80,7.61,9.37,11.59,14.12,16.65,193.356666666667
0,0.0,0.62,276601,1.84,953.48,18.05,98909,80,7.61,9.37,11.5933333333333,14.1133333333333,16.65,193.383333333333
0,0.0,0.62,115533,0.77,399.38,18.1,98901,80,7.61,9.38,11.5933333333333,14.15,16.6966666666667,193.413333333333
158345,1.06,546.61,440445,2.94,1522.58,18.13,98904,80,7.61,9.38,11.59,14.15,16.6966666666667,193.44
92168,0.61,318.96,355813,2.37,1227.41,18.15,98907,80,7.61,9.38,11.5933333333333,14.1533333333333,16.7033333333333,193.46
0,0.0,0.62,182675,1.22,630.24,18.16,98903,80,7.61666666666667,9.38,11.6,14.16,16.71,193.49
0,0.0,0.62,485289,3.24,1680.43,18.15,98898,80,7.62,9.38,11.6,14.16,16.7,193.53
154793,1.03,534.4,294196,1.96,1014.18,18.15,98898,80,7.62,9.39,11.6066666666667,14.16,16.69,193.58
90011,0.6,311.53,675961,4.51,2367.45,18.13,98895,80,7.62,9.39,11.6033333333333,14.15,16.6833333333333,193.616666666667
150120,1.0,518.33,492367,3.28,1705.45,18.16,98895,80,7.62,9.39,11.61,14.15,16.68,193.65
0,0.0,0.62,249825,1.67,861.22,18.1,98894,80,7.62666666666667,9.39,11.6166666666667,14.1566666666667,16.6833333333333,193.7
0,0.0,0.62,303770,2.03,1047.24,18.1,98894,81,7.63,9.4,11.62,14.15,16.6666666666667,193.816666666667
0,0.0,0.62,190013,1.27,655.47,18.07,98894,81,7.63333333333333,9.4,11.62,14.14,16.66,193.88
197165,1.31,680.06,698595,4.66,2451.11,18.03,98896,81,7.64,9.4,11.62,14.1466666666667,16.66,193.956666666667
128712,0.86,444.72,481417,3.21,1666.76,18.04,98897,81,7.64,9.41,11.6266666666667,14.14,16.65,194.006666666667
37134,0.25,129.14,272325,1.82,938.74,17.98,98896,81,7.64,9.41,11.63,14.14,16.6433333333333,194.04
123219,0.82,425.82,371424,2.48,1281.62,18.01,98899,81,7.64666666666667,9.41333333333333,11.64,14.17,16.68,194.09
0,0.0,0.62,167453,1.12,577.92,18.06,98895,81,7.65,9.42,11.6433333333333,14.17,16.68,194.14
0,0.0,0.62,362480,2.42,1250.55,18.12,98898,81,7.65333333333333,9.42,11.65,14.17,16.6733333333333,194.203333333333
358254,2.39,1235.88,707043,4.71,2482.47,18.09,98897,81,7.66,9.43,11.6533333333333,14.17,16.67,194.25
199534,1.33,688.2,509508,3.4,1766.18,18.08,98897,81,7.66,9.43,11.6533333333333,14.2,16.7133333333333,194.293333333333
0,0.0,0.62,216079,1.44,745.1,18.1,98898,81,7.66,9.43,11.6633333333333,14.21,16.7266666666667,194.323333333333
35898,0.24,124.86,405849,2.71,1401.53,18.02,98893,81,7.66,9.43666666666667,11.6666666666667,14.2133333333333,16.7266666666667,194.376666666667
146994,0.98,507.59,216496,1.44,746.53,18.07,98899,81,7.66333333333333,9.44,11.68,14.22,16.73,194.426666666667
0,0.0,0.62,393620,2.62,1358.88,18.04,98897,81,7.67,9.44,11.68,14.2166666666667,16.72,194.48
121801,0.81,420.95,626684,4.18,2187.01,18.0,98894,81,7.67,9.44,11.68,14.21,16.7133333333333,194.533333333333
151830,1.01,524.21,435096,2.9,1503.83,17.94,98900,81,7.67,9.44,11.6733333333333,14.2066666666667,16.7033333333333,194.59
